yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2009,NL,ATL,ATL,E,3,162,81,86,76,N,N,N,N,735,5539,1459,300,20,149,602,1064,58,26,52,47,641,581,3.57,3,10,38,4388,1399,119,530,1232,107,158,0.98,Atlanta Braves,Turner Field,2373631,99,98,ATL,ATL,ATL
2009,NL,NYN,NYM,E,4,162,81,70,92,N,N,N,N,671,5453,1472,295,49,95,526,928,122,44,36,55,757,705,4.46,3,12,39,4278,1452,158,616,1031,108,134,0.98,New York Mets,Citi Field,3168571,97,97,NYM,NYN,NYN
2009,NL,WAS,WSN,E,5,162,81,59,103,N,N,N,N,710,5493,1416,271,38,156,617,1208,73,40,56,42,874,791,5.02,6,3,33,4273,1533,173,629,911,170,154,0.97,Washington Nationals,Nationals Park,1817226,99,101,WSN,MON,WAS
2009,NL,LAN,LAD,W,1,162,81,95,67,Y,N,N,N,780,5592,1511,278,39,145,607,1068,116,48,63,44,611,558,3.41,1,9,44,4420,1265,127,584,1272,97,134,0.98,Los Angeles Dodgers,Dodger Stadium,3761655,96,95,LAD,LAN,LAN
2009,NL,COL,COL,W,2,162,81,92,70,N,Y,N,N,804,5398,1408,300,50,190,660,1277,106,55,47,60,715,675,4.24,5,7,45,4315,1427,141,528,1154,103,144,0.98,Colorado Rockies,Coors Field,2665080,112,112,COL,COL,COL
2009,NL,SFN,SFG,W,3,162,81,88,74,N,N,N,N,657,5493,1411,275,43,122,392,1158,78,28,50,55,611,571,3.55,11,18,41,4338,1268,140,584,1302,99,138,0.98,San Francisco Giants,AT&T Park,2862110,102,102,SFG,SFN,SFN
2009,NL,SDN,SDP,W,4,162,81,75,87,N,N,N,N,638,5425,1315,265,31,141,586,1182,82,29,57,36,769,704,4.37,2,9,45,4352,1422,167,603,1187,109,144,0.98,San Diego Padres,Petco Park,1919603,90,90,SDP,SDN,SDN
2009,NL,ARI,ARI,W,5,162,81,70,92,N,N,N,N,720,5565,1408,307,45,173,571,1298,102,40,37,41,782,711,4.44,4,12,36,4343,1470,168,525,1158,151,132,0.97,Arizona Diamondbacks,Chase Field,2128765,105,106,ARI,ARI,ARI
2010,AL,MIN,MIN,C,1,162,81,94,68,Y,N,N,N,781,5568,1521,318,41,142,559,967,68,28,39,53,671,638,3.95,9,13,40,4358,1493,155,383,1048,94,149,0.98,Minnesota Twins,Target Field,3223640,101,100,MIN,MIN,MIN
2010,AL,CHA,CHW,C,2,162,81,88,74,N,N,N,N,752,5484,1467,263,21,177,467,922,160,74,79,38,704,658,4.09,6,11,43,4339,1471,136,490,1149,120,157,0.98,Chicago White Sox,U.S. Cellular Field,2194378,105,105,CHW,CHA,CHA
